Timestamp,Observed,Predicted,Deviation
2025-04-01 15:00:00,108.0,144.01579614008187,-36.015796140081875
2025-04-01 16:00:00,111.0,134.60135652746118,-23.601356527461178
2025-04-01 17:00:00,85.0,149.32893947618547,-64.32893947618547
2025-04-01 18:00:00,58.0,102.40729051069218,-44.40729051069218
2025-04-01 19:00:00,24.0,118.24309744673691,-94.24309744673691
2025-04-01 20:00:00,19.0,113.99095590235228,-94.99095590235228
2025-04-01 21:00:00,14.0,125.89719657643856,-111.89719657643856
2025-04-01 22:00:00,12.0,120.72744207142215,-108.72744207142215
2025-04-01 23:00:00,12.0,126.95907847686118,-114.95907847686118
2025-04-02 00:00:00,11.0,118.54342496256388,-107.54342496256388
2025-04-02 01:00:00,9.0,118.01002014462566,-109.01002014462566
2025-04-02 02:00:00,6.0,107.23763293334821,-101.23763293334821
2025-04-02 03:00:00,5.0,107.07711669323385,-102.07711669323385
2025-04-02 04:00:00,4.0,101.81289607570247,-97.81289607570247
2025-04-02 05:00:00,5.0,105.6206764891397,-100.6206764891397
2025-04-02 06:00:00,7.0,105.59618689781138,-98.59618689781138
2025-04-02 07:00:00,56.0,149.70948408293708,-93.70948408293708
2025-04-02 08:00:00,111.0,159.97932855979278,-48.979328559792776
2025-04-02 09:00:00,117.0,197.02954091659646,-80.02954091659646
2025-04-02 10:00:00,173.0,200.57452546505078,-27.574525465050783
2025-04-02 11:00:00,162.0,210.74360216118288,-48.74360216118288
2025-04-02 12:00:00,163.0,223.8307479464907,-60.8307479464907
2025-04-02 13:00:00,256.0,223.0767492352543,32.92325076474569
2025-04-02 14:00:00,191.0,197.84616361000752,-6.8461636100075225
2025-04-02 15:00:00,95.0,167.28081898961395,-72.28081898961395
2025-04-02 16:00:00,186.0,165.8542642300556,20.145735769944395
2025-04-02 17:00:00,144.0,163.2701317613062,-19.270131761306203
2025-04-02 18:00:00,49.0,139.28360553468553,-90.28360553468553
2025-04-02 19:00:00,76.0,126.99457027623573,-50.994570276235734
2025-04-02 20:00:00,28.0,120.97061010790254,-92.97061010790254
2025-04-02 21:00:00,14.0,119.00165541591075,-105.00165541591075
2025-04-02 22:00:00,13.0,117.86730872057366,-104.86730872057366
2025-04-02 23:00:00,13.0,117.78257154990321,-104.78257154990321
2025-04-03 00:00:00,11.0,114.48367116385604,-103.48367116385604
2025-04-03 01:00:00,9.0,111.54470542887239,-102.54470542887239
2025-04-03 02:00:00,6.0,107.56715720711591,-101.56715720711591
2025-04-03 03:00:00,4.0,107.57157494089162,-103.57157494089162
2025-04-03 04:00:00,4.0,105.07183479276641,-101.07183479276641
2025-04-03 05:00:00,5.0,108.41603009930606,-103.41603009930606
2025-04-03 06:00:00,6.0,109.93460267052147,-103.93460267052147
2025-04-03 07:00:00,40.0,135.2806151185489,-95.2806151185489
2025-04-03 08:00:00,97.0,172.10201215298667,-75.10201215298667
2025-04-03 09:00:00,205.0,247.32620786133282,-42.32620786133282
2025-04-03 10:00:00,179.0,200.15983514749752,-21.159835147497517
2025-04-03 11:00:00,199.0,214.5436926103867,-15.5436926103867
2025-04-03 12:00:00,182.0,201.02436633510413,-19.024366335104133
2025-04-03 13:00:00,222.0,242.8138989333554,-20.813898933355404
2025-04-03 14:00:00,196.0,220.48190819475477,-24.481908194754766
2025-04-03 15:00:00,140.0,172.43018416197313,-32.43018416197313
2025-04-03 16:00:00,163.0,174.69385419258109,-11.693854192581085
2025-04-03 17:00:00,136.0,173.23050270887222,-37.23050270887222
2025-04-03 18:00:00,67.0,137.88158955675124,-70.88158955675124
2025-04-03 19:00:00,36.0,142.41398324643313,-106.41398324643313
2025-04-03 20:00:00,31.0,138.57029061932298,-107.57029061932298
2025-04-03 21:00:00,106.0,138.06815081646545,-32.06815081646545
2025-04-03 22:00:00,384.0,136.79084045673483,247.20915954326517
2025-04-03 23:00:00,434.0,137.29836488733685,296.70163511266315
2025-04-04 00:00:00,460.0,134.78375312193967,325.21624687806036
2025-04-04 01:00:00,484.0,133.06512442897076,350.93487557102924
2025-04-04 02:00:00,508.0,128.87618468354106,379.12381531645894
2025-04-04 03:00:00,535.0,128.00933136433744,406.9906686356626
2025-04-04 04:00:00,544.0,126.3845417151302,417.6154582848698
2025-04-04 05:00:00,557.0,127.52976155646277,429.47023844353726
2025-04-04 06:00:00,563.0,128.3206388812739,434.6793611187261
2025-04-04 07:00:00,617.0,172.33584546949794,444.66415453050206
2025-04-04 08:00:00,615.0,183.1020521352543,431.8979478647457
2025-04-04 09:00:00,705.0,220.8150388474852,484.1849611525148
2025-04-04 10:00:00,729.0,225.61495755272807,503.3850424472719
2025-04-04 11:00:00,774.0,236.460610468011,537.539389531989
2025-04-04 12:00:00,772.0,252.8753577342663,519.1246422657337
2025-04-04 13:00:00,792.0,252.4352751727575,539.5647248272425
2025-04-04 14:00:00,735.0,226.62126568671377,508.37873431328626
2025-04-04 15:00:00,636.0,192.86906324070486,443.13093675929514
2025-04-04 16:00:00,634.0,191.72914617266073,442.27085382733924
2025-04-04 17:00:00,593.0,187.87873299285124,405.12126700714873
2025-04-04 18:00:00,607.0,161.06519089276335,445.9348091072367
2025-04-04 19:00:00,576.0,146.75504452402822,429.2449554759718
2025-04-04 20:00:00,565.0,139.98004798920158,425.0199520107984
2025-04-04 21:00:00,561.0,137.52803266952878,423.4719673304712
2025-04-04 22:00:00,566.0,136.7171948880869,429.2828051119131
