Timestamp,Observed,Predicted,Deviation
2025-04-01 15:00:00,108.0,146.71339054676014,-38.71339054676014
2025-04-01 16:00:00,111.0,158.5299918582505,-47.5299918582505
2025-04-01 17:00:00,85.0,128.31556216816057,-43.31556216816057
2025-04-01 18:00:00,58.0,102.29214922750427,-44.29214922750427
2025-04-01 19:00:00,24.0,106.32416615796286,-82.32416615796286
2025-04-01 20:00:00,19.0,88.2284427970369,-69.2284427970369
2025-04-01 21:00:00,14.0,88.76946351450772,-74.76946351450772
2025-04-01 22:00:00,12.0,89.25246432371377,-77.25246432371377
2025-04-01 23:00:00,12.0,86.73355086041111,-74.73355086041111
2025-04-02 00:00:00,11.0,86.76542571525954,-75.76542571525954
2025-04-02 01:00:00,9.0,83.25022437108669,-74.25022437108669
2025-04-02 02:00:00,6.0,80.76559888577096,-74.76559888577096
2025-04-02 03:00:00,5.0,79.21894438638405,-74.21894438638405
2025-04-02 04:00:00,4.0,80.25006192727562,-76.25006192727562
2025-04-02 05:00:00,5.0,79.76560495676881,-74.76560495676881
2025-04-02 06:00:00,7.0,85.7966913534852,-78.7966913534852
2025-04-02 07:00:00,56.0,128.34332720921148,-72.34332720921148
2025-04-02 08:00:00,111.0,189.0635177852402,-78.06351778524021
2025-04-02 09:00:00,117.0,322.7679802005635,-205.7679802005635
2025-04-02 10:00:00,173.0,220.97024765300188,-47.97024765300188
2025-04-02 11:00:00,162.0,236.07138141809992,-74.07138141809992
2025-04-02 12:00:00,163.0,230.04541222595077,-67.04541222595077
2025-04-02 13:00:00,256.0,308.1929982903848,-52.19299829038482
2025-04-02 14:00:00,191.0,270.54797261607825,-79.54797261607825
2025-04-02 15:00:00,95.0,209.50646707053076,-114.50646707053076
2025-04-02 16:00:00,186.0,230.1321070167216,-44.13210701672159
2025-04-02 17:00:00,144.0,185.97236350868403,-41.972363508684026
2025-04-02 18:00:00,49.0,146.88000775299344,-97.88000775299344
2025-04-02 19:00:00,76.0,153.80324399468142,-77.80324399468142
2025-04-02 20:00:00,28.0,127.03370407473116,-99.03370407473116
2025-04-02 21:00:00,14.0,127.79707960615636,-113.79707960615636
2025-04-02 22:00:00,13.0,128.04608825240834,-115.04608825240834
2025-04-02 23:00:00,13.0,125.29411000506272,-112.29411000506272
2025-04-03 00:00:00,11.0,125.79499793899267,-114.79499793899267
2025-04-03 01:00:00,9.0,122.0449334560585,-113.0449334560585
2025-04-03 02:00:00,6.0,119.79508721618187,-113.79508721618187
2025-04-03 03:00:00,4.0,117.54435220445053,-113.54435220445053
2025-04-03 04:00:00,4.0,119.0448497089659,-115.0448497089659
2025-04-03 05:00:00,5.0,118.79509034605438,-113.79509034605438
2025-04-03 06:00:00,6.0,125.29557179434634,-119.29557179434634
2025-04-03 07:00:00,40.0,168.54629719443187,-128.54629719443187
2025-04-03 08:00:00,97.0,225.04194773787972,-128.04194773787972
2025-04-03 09:00:00,205.0,308.99071855273064,-103.99071855273064
2025-04-03 10:00:00,179.0,255.5404977518646,-76.54049775186459
2025-04-03 11:00:00,199.0,294.81538737147537,-95.81538737147537
2025-04-03 12:00:00,182.0,273.29943869171564,-91.29943869171564
2025-04-03 13:00:00,222.0,331.02841543179505,-109.02841543179505
2025-04-03 14:00:00,196.0,306.2917059976957,-110.29170599769571
2025-04-03 15:00:00,140.0,254.3361038688291,-114.3361038688291
2025-04-03 16:00:00,163.0,270.69416089508434,-107.69416089508434
2025-04-03 17:00:00,136.0,233.29029456394815,-97.29029456394815
2025-04-03 18:00:00,67.0,200.52925366018204,-133.52925366018204
2025-04-03 19:00:00,36.0,206.05182421494854,-170.05182421494854
2025-04-03 20:00:00,31.0,183.48435820260184,-152.48435820260184
2025-04-03 21:00:00,106.0,184.14001282990262,-78.14001282990262
2025-04-03 22:00:00,384.0,184.5023801523316,199.4976198476684
2025-04-03 23:00:00,434.0,181.86331130780118,252.13668869219882
2025-04-04 00:00:00,460.0,182.13698350474593,277.8630164952541
2025-04-04 01:00:00,484.0,178.50069964658414,305.49930035341583
2025-04-04 02:00:00,508.0,176.13711342447556,331.86288657552444
2025-04-04 03:00:00,535.0,174.22747374599712,360.77252625400286
2025-04-04 04:00:00,544.0,175.50057777447185,368.4994222255282
2025-04-04 05:00:00,557.0,175.137117979191,381.862882020809
2025-04-04 06:00:00,563.0,181.41019864200845,381.5898013579915
2025-04-04 07:00:00,617.0,224.31982433323626,392.6801756667637
2025-04-04 08:00:00,615.0,282.8620744700391,332.1379255299609
2025-04-04 09:00:00,705.0,390.9152394701223,314.0847605298777
2025-04-04 10:00:00,729.0,314.04282427237587,414.95717572762413
2025-04-04 11:00:00,774.0,341.60661670267115,432.39338329732885
2025-04-04 12:00:00,772.0,327.59486622577555,444.40513377422445
2025-04-04 13:00:00,792.0,395.2157405967952,396.7842594032048
2025-04-04 14:00:00,735.0,364.22553266005144,370.77446733994856
2025-04-04 15:00:00,636.0,307.8682190798954,328.1317809201046
2025-04-04 16:00:00,634.0,326.29372804202757,307.70627195797243
2025-04-04 17:00:00,593.0,285.6169431502036,307.3830568497964
2025-04-04 18:00:00,607.0,249.78866503210932,357.2113349678907
2025-04-04 19:00:00,576.0,255.9897950994314,320.0102049005686
2025-04-04 20:00:00,565.0,231.3866133205815,333.6133866794185
2025-04-04 21:00:00,561.0,232.0944538798125,328.9055461201875
2025-04-04 22:00:00,566.0,232.4019040233823,333.59809597661774
