Timestamp,Observed,Predicted,Deviation,Anomaly
2025-04-01 15:00:00,108.0,148.14847187239545,-40.14847187239545,0
2025-04-01 16:00:00,111.0,161.53184519388458,-50.53184519388458,0
2025-04-01 17:00:00,85.0,149.1049916966259,-64.10499169662589,0
2025-04-01 18:00:00,58.0,112.9325649532517,-54.9325649532517,0
2025-04-01 19:00:00,24.0,102.81897862422389,-78.81897862422389,0
2025-04-01 20:00:00,19.0,86.21473345930899,-67.21473345930899,0
2025-04-01 21:00:00,14.0,78.59421153928068,-64.59421153928068,0
2025-04-01 22:00:00,12.0,77.22618954704333,-65.22618954704333,0
2025-04-01 23:00:00,12.0,78.04230413171693,-66.04230413171693,0
2025-04-02 00:00:00,11.0,81.56761211546022,-70.56761211546022,0
2025-04-02 01:00:00,9.0,83.18742093334873,-74.18742093334873,0
2025-04-02 02:00:00,6.0,84.43887477115186,-78.43887477115186,0
2025-04-02 03:00:00,5.0,83.86668817245601,-78.86668817245601,0
2025-04-02 04:00:00,4.0,82.19839476083847,-78.19839476083847,0
2025-04-02 05:00:00,5.0,79.4410428258237,-74.4410428258237,0
2025-04-02 06:00:00,7.0,78.57067242610128,-71.57067242610128,0
2025-04-02 07:00:00,56.0,110.74327686079475,-54.74327686079475,0
2025-04-02 08:00:00,111.0,137.03332369072012,-26.033323690720124,0
2025-04-02 09:00:00,117.0,182.21120928531943,-65.21120928531943,0
2025-04-02 10:00:00,173.0,174.2870149074835,-1.2870149074834956,0
2025-04-02 11:00:00,162.0,201.27648141444973,-39.276481414449734,0
2025-04-02 12:00:00,163.0,194.91381875124347,-31.91381875124347,0
2025-04-02 13:00:00,256.0,215.64575634061447,40.35424365938553,0
2025-04-02 14:00:00,191.0,195.316537322023,-4.316537322023009,0
2025-04-02 15:00:00,95.0,150.91296282704556,-55.91296282704556,0
2025-04-02 16:00:00,186.0,155.10929507651662,30.890704923483383,0
2025-04-02 17:00:00,144.0,143.89211168807878,0.10788831192121506,0
2025-04-02 18:00:00,49.0,111.3503475579907,-62.3503475579907,0
2025-04-02 19:00:00,76.0,105.26779980195562,-29.26779980195562,0
2025-04-02 20:00:00,28.0,97.56015402650169,-69.56015402650169,0
2025-04-02 21:00:00,14.0,94.70794016774757,-80.70794016774757,0
2025-04-02 22:00:00,13.0,95.37064261917163,-82.37064261917163,0
2025-04-02 23:00:00,13.0,94.88595419293146,-81.88595419293146,0
2025-04-03 00:00:00,11.0,94.22490260307247,-83.22490260307247,0
2025-04-03 01:00:00,9.0,91.12027404070558,-82.12027404070558,0
2025-04-03 02:00:00,6.0,88.62672002944616,-82.62672002944616,0
2025-04-03 03:00:00,4.0,86.78199316677858,-82.78199316677858,0
2025-04-03 04:00:00,4.0,86.08459616219561,-82.08459616219561,0
2025-04-03 05:00:00,5.0,86.38613026862939,-81.38613026862939,0
2025-04-03 06:00:00,6.0,88.65767476215454,-82.65767476215454,0
2025-04-03 07:00:00,40.0,122.67564061942873,-82.67564061942873,0
2025-04-03 08:00:00,97.0,147.62287456096357,-50.62287456096357,0
2025-04-03 09:00:00,205.0,193.0790850688928,11.920914931107205,0
2025-04-03 10:00:00,179.0,182.12437502856432,-3.124375028564316,0
2025-04-03 11:00:00,199.0,202.74552147765414,-3.745521477654137,0
2025-04-03 12:00:00,182.0,197.17453679212525,-15.174536792125252,0
2025-04-03 13:00:00,222.0,215.78401210700883,6.215987892991166,0
2025-04-03 14:00:00,196.0,195.40231999190448,0.5976800080955229,0
2025-04-03 15:00:00,140.0,152.52921696063336,-12.529216960633363,0
2025-04-03 16:00:00,163.0,157.98020449931204,5.019795500687962,0
2025-04-03 17:00:00,136.0,148.42236070826198,-12.422360708261976,0
2025-04-03 18:00:00,67.0,116.70199099085958,-49.701990990859585,0
2025-04-03 19:00:00,36.0,110.3591292230028,-74.3591292230028,0
2025-04-03 20:00:00,31.0,102.08320919069395,-71.08320919069395,0
2025-04-03 21:00:00,106.0,98.12143385598159,7.878566144018407,0
2025-04-03 22:00:00,384.0,97.85021855801054,286.1497814419895,0
2025-04-03 23:00:00,434.0,96.91564402704466,337.08435597295534,0
2025-04-04 00:00:00,460.0,96.36042330079191,363.6395766992081,0
2025-04-04 01:00:00,484.0,93.85892099459879,390.1410790054012,0
2025-04-04 02:00:00,508.0,92.16105020991247,415.83894979008755,0
2025-04-04 03:00:00,535.0,91.01104505134789,443.9889549486521,0
2025-04-04 04:00:00,544.0,90.62529060549738,453.3747093945026,0
2025-04-04 05:00:00,557.0,90.82708699366192,466.1729130063381,0
2025-04-04 06:00:00,563.0,92.61204976882196,470.387950231178,0
2025-04-04 07:00:00,617.0,125.95995695784435,491.0400430421556,1
2025-04-04 08:00:00,615.0,150.19515517196498,464.804844828035,0
